JacksMask,Aces,Tens,AttachedTens,TenKingSmall,WinProb
0,0,2,0,0,0.0000
3,1,1,0,0,0.0000
3,2,2,1,1,0.4000
12,1,2,1,0,0.0300
0,2,1,0,1,0.0000
2,2,2,1,0,0.0000
8,1,2,1,1,0.0100
5,0,1,0,0,0.0000
4,1,1,0,0,0.0000
0,2,1,0,1,0.0000
0,1,1,0,1,0.0000
8,2,1,1,0,0.0300
2,1,3,1,1,0.0000
0,1,3,1,0,0.0000
1,2,1,1,0,0.0100
4,2,2,1,0,0.0000
9,1,0,0,0,0.0000
0,1,1,0,1,0.0000
0,1,2,0,0,0.0000
8,2,1,0,0,0.0300
6,1,1,0,0,0.0000
12,0,1,0,0,0.0000
4,1,3,1,0,0.0100
0,2,1,1,0,0.0000
0,2,0,0,0,0.0000
8,3,1,0,0,0.0900
1,2,3,1,1,0.0300
2,0,3,0,1,0.0000
2,2,1,0,0,0.0000
0,1,1,0,0,0.0000
4,2,3,1,1,0.0100
2,3,0,0,0,0.0400
12,3,0,0,0,0.8000
2,1,0,0,0,0.0000
15,1,2,1,0,0.4300
5,1,0,0,0,0.0000
8,1,1,0,0,0.0000
9,0,0,0,0,0.0000
3,2,1,0,0,0.0000
13,1,1,0,0,0.0000
2,2,0,0,0,0.0000
0,3,2,2,0,0.0400
1,1,2,1,0,0.0000
8,1,1,1,0,0.0000
9,0,0,0,0,0.0000
0,1,1,0,1,0.0000
11,0,0,0,0,0.0000
6,2,0,0,0,0.1400
0,1,2,0,0,0.0000
0,2,1,1,0,0.0000
8,4,2,2,0,0.9900
0,1,2,1,1,0.0000
0,1,0,0,0,0.0000
9,1,0,0,0,0.0000
3,2,1,0,0,0.0000
8,0,1,0,0,0.0000
4,1,2,1,1,0.0000
11,1,1,0,0,0.0100
0,2,1,0,0,0.0000
1,1,1,1,0,0.0000
3,2,1,1,0,0.3300
0,2,1,0,0,0.0000
14,0,1,0,0,0.0000
1,1,1,0,0,0.0000
0,1,1,1,0,0.0000
0,1,1,0,0,0.0000
0,0,3,0,1,0.0000
12,0,1,0,1,0.0000
0,2,1,0,0,0.0000
3,1,0,0,0,0.0000
10,1,1,1,0,0.0000
0,1,3,1,0,0.0000
5,0,2,0,0,0.0000
14,0,2,0,0,0.0000
14,0,1,0,0,0.0000
8,2,0,0,0,0.0000
4,1,2,0,1,0.0000
1,1,3,1,0,0.0000
4,2,1,0,1,0.0000
5,1,0,0,0,0.0000
0,1,3,1,1,0.0000
8,0,1,0,1,0.0000
8,3,0,0,0,0.0100
0,1,1,0,1,0.0000
10,2,2,1,0,0.5300
14,2,3,2,0,1.0000
5,1,0,0,0,0.0000
5,1,2,1,0,0.0000
6,0,3,0,0,0.0000
10,1,2,1,0,0.0400
0,2,1,0,1,0.0000
0,0,2,0,0,0.0000
1,2,0,0,0,0.0000
1,0,2,0,0,0.0000
1,1,1,1,1,0.0000
5,1,2,0,0,0.0000
8,1,1,1,0,0.0000
2,1,1,0,0,0.0000
6,0,2,0,0,0.0000
8,0,2,0,1,0.0000
