Cards,JacksMask,TrumpCount,Aces,Tens,AttachedTens,TenKingSmall,SkatFulls,WinProb
[HJ CT CK CQ C9 S8 S7 H7 DA D8],H,6,1,0,0,0,0,0.6000
[CT C9 C8 SK SQ S7 HT H9 DK D8],-,2,0,1,0,0,1,0.0000
[SJ CA CT CQ C7 SK SQ HA DK DQ],S,5,1,0,0,0,0,0.1000
[HJ CK C9 C8 S7 HA HQ DA D8 D7],H,5,2,0,0,0,0,0.7000
[SJ HJ CT C9 C7 S9 S8 HQ DK D7],SH,3,1,0,0,0,0,0.0000
[CJ DJ CA S7 HA HK H8 DT DQ D9],CD,4,1,1,0,0,0,0.1000
[HJ CK CQ S8 HK HQ H9 H7 DQ D9],H,1,1,0,0,0,0,0.0000
[CJ HJ CA CQ C7 S9 HA H8 H7 DT],CH,6,1,1,0,0,0,0.6000
[CJ DJ CK S9 S8 S7 HK H7 DA DT],CD,3,2,1,1,0,0,0.2000
[SJ DJ CA CK ST SK S8 S7 HQ DT],SD,2,1,2,0,1,0,0.0000
